learner,toxic_fraction,lured_percent_mean,lured_percent_ci95_half_width
L1 sim gate,0.2,79.5,1.0154063792110668
L1 sim gate,0.3,63.266666666666666,1.281415787890854
L1 sim gate,0.4,41.833333333333336,1.768333544584905
L1 sim gate,0.5,19.366666666666667,1.3762844978989948
L1 sim gate,0.6,5.633333333333334,0.7546319394146225
L2 eps-greedy,0.2,97.5,0.5038837669291527
L2 eps-greedy,0.3,92.73333333333333,0.8134839129499443
L2 eps-greedy,0.4,80.7,1.243702518298885
L2 eps-greedy,0.5,58.03333333333333,1.6371137858721732
L2 eps-greedy,0.6,28.4,1.5881464363994513
L3 softmax,0.2,99.83333333333333,0.16501433816722194
L3 softmax,0.3,99.2,0.30305964664614676
L3 softmax,0.4,94.5,0.8548608813349583
L3 softmax,0.5,80.16666666666667,1.2575898618136194
L3 softmax,0.6,50.53333333333333,1.8432801680096758
L4 sample-avg,0.2,77.4,1.340912161659874
L4 sample-avg,0.3,62.13333333333333,1.6751080756578363
L4 sample-avg,0.4,46.8,2.123082036411531
L4 sample-avg,0.5,28.166666666666668,1.7073526818079
L4 sample-avg,0.6,10.8,0.917879415113802
